,truth_int,fiction type ,film_condensed,reality_condensed,duration
35,2,,It's AZT. Ron swallows a few pills. ,Ron took AZT.,41
36,3,,His colleagues refuse him entry at work. ,Ron's friends turned on him.,37
37,2,character development,Montage - Ron unravels...,Ron led a colourful life.,50
38,2,dramatic license,janitor says no more AZT. Ron passes out.,"Ron passed out, woke up in hospital.",44
39,0,dramatic license,Ron wakes in hospital. Sevard questions the AZT in his system. ,Ron got AZT legally. ,73
40,0,character development,"HIV patient Rayon, a trans woman, walks over.",Rayon was fictional.,74
41,0,character development,Rayon & Ron play cards.,Rayon was fictional.,26
42,0,character development,"Ron's leg cramps, Rayon squeezes it. ",Rayon was fictional.,42
43,0,character development,"Rayon compliments Ron's feet, he pulls away. ",Rayon was fictional.,23
44,2,character development,"Rayon explains she's in the AZT trial, Ron wants in. ",People on AZT trials pooled their meds. ,65
45,3,,"He walks out, on a mission. ",Ron wouldn't give in to AIDS.,29
46,2,dramatic license,He gets home to find his trailer vandalised. ,Ron's friends turned on him.,47
47,-1,,He searches for his stashed cash. ,Not public knowledge.,36
48,-1,,He drives away with his cash & a painting. ,Not public knowledge.,18
49,-1,,He breaks down weeping. ,Not public knowledge.,78
50,2,narrative cohesion,"He drives to a hospital the janitor spoke of, in Mexico. ",Ron met a doctor in Mexico. ,20
51,3,,"Ron asks Dr. Vass for AZT, he refuses. ",Ron met a doctor in Mexico. ,33
52,3,,Vass puts him on a regimen of healthy supplements.,Ron ate healthily. ,69
53,0,character development,"Eve treats Rayon, they are friends. ",Rayon & Eve were fictional.,76
54,3,,"Ron's looking good, suggests Vass sells his vitamin cocktail. ",Ron had dealings with Mexican doctors. ,87
55,3,,Ron makes plans to smuggle Vass' drugs. ,Ron packed his Lincoln with drugs.,58
56,3,,Ron tries to cross the border dressed as a priest. ,Ron dressed up for customs. ,41
57,3,,Barkley of FDA questions him at customs. ,A 90-day supply was allowed.,114
58,-1,,"Ron tries to sell to gay guys, unsuccessful. ",Not public knowledge.,48
59,3,,FDA end AZT trial early. Eve worried. ,AZT hit the market in record time.,23
60,3,,Sevard dismisses Eve's concerns. ,Many doctors were concerned.,31
61,0,character development,"Rayon teases Ron, says she can get him clients. ",Rayon was fictional.,69
62,0,character development,They cut a deal. ,Rayon was fictional.,65
63,0,character development,Sales are great. ,Rayon was fictional.,13
64,1,character development,They sell in a gay club. ,Ron worked with the gay community. ,67
65,3,,"Ron back in the library, researching. ",Ron was a dedicated researcher. ,16
66,2,,He & Rayon pull into an apartment complex. ,Ron worked out of an office.,18
67,2,,"They enter a run-down apartment, their new 'office'.",Ron worked out of an office.,17
68,3,,They've set up a buyers club.,Ron set up a buyers club. ,61
69,3,,AZT approved by the FDA. ,AZT was approved in record time.,0
70,2,character development,"Ron & Rayon look better, business is good. ","The club was succesful, Ron grew stronger.",119
71,0,dramatic license,Eve asks after Rayon in the hospital.,Eve was fictional. ,16
72,3,,Ron orders InterfeRon from Japan. ,Ron went to Japan.,21
73,2,dramatic license,Eve finds Rayon's files in Ron's office. ,Eve was fictional. ,50
74,2,character development,Ron & Rayon shop for healthfood. ,Ron ate healthily. ,41
75,0,character development,"They bump into TJ, he insults Rayon, Ron attacks him. ",Rayon & TJ were fictional.,104
76,3,,Men queue outside the office for membership.,Ron had 4000 customers.,12
77,-1,,"A guy wants to join for $50. Ron says no, it's $400.",Not public knowledge.,27
78,2,character development,Ron prepares to go overseas. Rayon is high. ,Ron had a trusted secretary.,77
79,3,,Ron pulls up in Tokyo.,Ron imported from Japan. ,11
80,3,,"Yamata won't sell him InterfeRon, only doctors can buy it. ",Ron bribed a worker to show him the accounts.,67
81,3,,Ron bribes a doctor to order it. ,Ron bribed a doctor to order Interferon.,33
82,3,,Ron dresses up for customs.,Ron dressed up to get through customs. ,19
83,3,,He fakes it through as a doctor. ,Ron dressed up to get through customs. ,28
84,2,dramatic license,"Ron injects InterfeRon, has a heart attack. ",Ron injected unknown drugs.,47
85,2,,"In hospital, Ron wakes to questions from Sevard, Barkley. ",The FDA went after Ron.,107
86,2,character development ,Ron & Rayon leave. ,Ron refused hospital treatment.,6
87,2,character development ,Eve defends buyers clubs to Sevard.,Many doctors supported buyers clubs.,31
88,3,,FDA confiscate Ron's InterfeRon. ,The FDA confiscated Ron's drugs.,30
89,2,dramatic license,Montage - Ron travels the world to source InterfeRon. ,Ron imported internationally. ,29
90,2,,Eve is concerned about the safety of Ron's club. ,Some doctors worked with buyers clubs.,97
91,2,narrative cohesion,Sevard's trial patients have abandoned him.,Patients often switched from hospitals to clubs.,20
92,3,,"A woman joins the buyers club, the first. ",People queued up for drugs.,12
93,-1,,Ron asks secretary Denise about the woman.,Not public knowledge.,16
94,-1,,Everyone can hear Ron & woman having sex.,Not public knowledge.,11
95,-1,,Ron & woman have desperate sex. ,Not public knowledge.,15
96,-1,,"Ron walks to his office, he's doing well. ",Not public knowledge.,15
97,0,character development,He finds Rayon off her face on drugs. ,Rayon was fictional.,50
98,3,,The IRS audit the club. Ron's not happy. ,Ron's club got audited.,26
99,3,,News hits of AIDS-drug protests. ,People protested for action.,19
100,3,,"Ron takes his meds, looks well. ",Ron felt positive about his self-medication.,30
101,0,character development,"Ron dresses up for a date, takes his painting along. ",Rayon was fictional.,37
102,0,character development,"He meets Eve, gives her the painting. ",Eve was fictional. ,27
103,0,dramatic license,Asks Eve to spy on Sevard.,Eve & Sevard were fictional. ,40
104,-1,,They talk about their families.,Not public knowledge.,149
105,-1,,"At the office, Ron annoyed by Rayon's pictures of hot guys.",Ron's sexuality/homophobia is contested. ,21
106,0,character development,Eve contemplates the painting. ,Eve was fictional. ,9
107,3,,"Barkley & police raid the club, confiscate the drugs.",Ron got raided frequently. ,89
108,3,,Ron demands a restraining order against govt. & FDA.,Ron filed restraining orders.,15
109,3,,New regulations make buyers clubs illegal.,The FDA cracked down.,39
110,3,,Ron tries to get doctors to prescribe his meds.,Ron had a string of suppliers. ,20
111,1,dramatic license,Rayon tells Ron they're broke. ,Rayon was fictional.,76
112,0,character development,Tucker gives his father the meds Ron sent him.,Tucker was fictional.,44
113,-1,,Ron is offered a free property for his growing club. ,Not public knowledge.,24
114,1,character development,Rayon snorts lines. She & Ron recruit members. ,Rayon was fictional.,38
115,0,character development,Rayon begs her father for money. ,Rayon was fictional.,124
116,3,,Ron can't get prescriptions since the new regs.,The FDA cracked down.,9
117,0,character development,"Rayon, distressed, looks into the mirror. ",Rayon was fictional.,34
118,3,,"Ron tries another doctor, no luck. ",The FDA cracked down.,12
119,0,character development,Rayon puts a fat cash envelope on Ron's desk. ,Rayon was fictional.,39
120,1,character development,"Ron questions her, then thanks her. ",Rayon was fictional.,53
121,0,character development,"Ron asks Eve for prescriptions, she refuses.",Eve was fictional. ,81
122,0,dramatic license,Rayon is in a bad way. Boyfriend SUNNY takes her to hospital.,Rayon was fictional.,58
123,3,,"Ron visits Vass, arranges more smuggling. ",Ron met a doctor in Mexico.,54
124,0,dramatic license,"Eve visits Rayon, who is unconscious. ",Rayon was fictional.,39
125,-1,,Ron follows a light into a room of butterflies. ,Not public knowledge.,56
126,0,dramatic license,Rayon takes her last few breaths. ,Rayon was fictional.,14
127,1,character development,"Ron on a plane, writing scripts on a pad he stole from Eve. ",Ron went international.,10
128,2,dramatic license,Ron questioned at US customs. ,Ron was stopped at customs. ,42
129,0,dramatic license,Denise tells Ron about Rayon. He goes to her.,Rayon was fictional.,23
130,0,dramatic license,"Ron arrives too late, Rayon is dead.",Rayon was fictional.,19
131,1,character development,Ron storms down the hallway. ,Ron was angry.,11
132,1,"dramatic license, character development","He finds Sevard, accuses him of murder through AZT. ",Ron didn't attack a doctor. ,40
133,-1,,"Ron drives home, dejected. ",Not public knowledge.,17
134,-1,,Ron breaks down in fRont of a prostitute. ,Not public knowledge.,47
135,3,,Men are queuing outside the new office. ,Ron had 4000 customers.,23
136,-1,,Ron tells Denise to sell his car to get two guys treatment. ,Not public knowledge.,44
137,2,character development,Ron & Eve fight about Rayon's treatment. He gives her a Lancet study. ,The Lancet published concerns about AZT.,72
138,0,character development,"Eve goes home, gets mad, smashes up her wall. ",Eve was fictional. ,59
139,3,,Eve instructs nurse to lower patients' AZT to min. dosage. ,The AZT dose was lowered.,16
140,3,,Ron decides to take his case higher after restraining order application failed. ,Ron campaigned against AZT.,34
141,0,character development,Eve drops anti-AZT flyers around the hospital.,Eve was fictional. ,10
142,3,,Ron interrupts Barkley speaking at a support group. They argue. ,Ron was a thorn in the FDA's side.,80
143,0,character development,The hospital push Eve to resign. She insists they fire her. ,Eve was fictional. ,32
144,1,character development,Ron & Eve talk. ,Eve was fictional. ,138
145,0,character development,Eve adjusts the painting to hang straight. ,Eve was fictional. ,32
146,3,,"Ron's drugs have run out, his health is failing. ",Ron felt worse off Peptide T.,18
147,-1,,"He wanders, dazed, into a busy road. Police arrive. ",Not public knowledge.,54
148,0,dramatic license,Tucker guides Ron to safety.,Tucker was fictional.,18
149,0,dramatic license,Tucker gives Ron his father's meds. ,Tucker was fictional.,32
150,3,,Ron arrives at the US District Court. He's weak. ,Ron took the FDA to court.,16
151,3,,"Ron's case is dismissed, despite judge's sympathy. ",The judge ruled against him. ,79
152,0,character development,Eve gets the news. ,Eve was fictional. ,5
153,3,,"Ron flies home, hopeless. ",Ron couldn't beat the government. ,5
154,3,,Ron's people welcome him back with applause. ,Ron was a folk hero. ,39
155,3,,The FDA later allowed Ron his meds for personal use. ,FDA allowed Ron Peptide T. ,7
156,0,dramatic license,"He rides a bull, crowds cheer. ",Ron didn't ride bulls.,79
157,3,,"He died 1992, 7yrs after diagnosis. ",Ron died 1992.,16
158,3,,Low-dose AZT later saved millions of lives.,AZT still used today.,9
